0	resto_madrid_moderate_italian_4stars_1
1	resto_rome_moderate_italian_3stars_2
2	done
3	resto_paris_expensive_spanish_7stars_1
4	resto_london_cheap_italian_2stars_2
5	let's
6	resto_bombay_moderate_british_1stars_1
7	resto_london_moderate_indian_4stars_2
8	resto_london_expensive_indian_6stars_2
9	resto_rome_cheap_indian_7stars_1
10	resto_london_cheap_british_6stars_2
11	resto_madrid_moderate_french_1stars_1
12	resto_paris_moderate_spanish_5stars_2
13	resto_london_moderate_british_6stars_1
14	resto_london_expensive_british_7stars_2
15	resto_london_moderate_indian_1stars_2
16	resto_bombay_moderate_british_1stars_2
17	am
18	i
19	resto_rome_moderate_italian_7stars_1
20	resto_madrid_expensive_british_6stars_1
21	work
22	is
23	resto_bombay_expensive_italian_8stars_2
24	resto_bombay_moderate_french_7stars_2
25	resto_paris_expensive_indian_3stars_1
26	people
27	resto_rome_expensive_indian_6stars_1
28	i'm
29	resto_bombay_expensive_spanish_8stars_2
30	resto_bombay_expensive_italian_4stars_1
31	resto_paris_cheap_british_7stars_1
32	resto_london_cheap_spanish_7stars_2
33	resto_madrid_moderate_french_2stars_1
34	resto_bombay_cheap_indian_4stars_2
35	ok
36	finish
37	resto_london_moderate_spanish_2stars_1
38	resto_paris_expensive_french_8stars_1
39	resto_london_moderate_british_6stars_2
40	second
41	resto_paris_moderate_british_3stars_2
42	resto_paris_expensive_french_1stars_2
43	suitable
44	resto_rome_moderate_british_8stars_2
45	resto_rome_cheap_british_1stars_2
46	resto_bombay_cheap_indian_7stars_1
47	would
48	resto_madrid_cheap_british_5stars_2
49	provide
50	resto_london_cheap_british_1stars_2
51	resto_bombay_cheap_french_8stars_2
52	resto_london_cheap_italian_4stars_2
53	resto_madrid_expensive_italian_2stars_2
54	resto_bombay_cheap_italian_2stars_1
55	resto_madrid_cheap_british_5stars_1
56	resto_paris_expensive_indian_4stars_1
57	morning
58	resto_madrid_moderate_italian_7stars_1
59	resto_london_cheap_british_5stars_2
60	resto_paris_moderate_french_2stars_2
61	resto_paris_moderate_italian_5stars_2
62	resto_london_moderate_spanish_2stars_2
63	resto_madrid_cheap_italian_2stars_1
64	processing
65	eight
66	resto_london_moderate_indian_8stars_1
67	resto_madrid_cheap_italian_6stars_2
68	resto_rome_moderate_french_7stars_2
69	the
70	resto_paris_moderate_british_2stars_2
71	i'd
72	with
73	resto_bombay_moderate_french_8stars_1
74	resto_madrid_cheap_indian_1stars_2
75	day
76	another
77	resto_rome_moderate_french_3stars_1
78	resto_london_moderate_spanish_8stars_1
79	resto_london_cheap_british_3stars_2
80	great
81	price
82	me
83	resto_rome_moderate_indian_2stars_1
84	hey
85	should
86	resto_london_cheap_italian_6stars_1
87	resto_rome_expensive_spanish_7stars_1
88	resto_paris_cheap_indian_6stars_1
89	look
90	resto_london_expensive_british_4stars_1
91	resto_london_cheap_spanish_8stars_1
92	resto_madrid_expensive_italian_4stars_2
93	resto_london_expensive_french_3stars_1
94	resto_london_moderate_british_4stars_1
95	for
96	resto_madrid_cheap_italian_3stars_2
97	options
98	resto_paris_cheap_british_2stars_1
99	maam
100	resto_rome_expensive_spanish_6stars_2
101	resto_paris_cheap_french_8stars_2
102	resto_london_expensive_spanish_5stars_1
103	reservation
104	resto_rome_expensive_french_8stars_1
105	resto_paris_cheap_italian_1stars_1
106	resto_rome_cheap_indian_5stars_1
107	resto_london_cheap_french_7stars_2
108	resto_madrid_moderate_french_8stars_2
109	resto_london_expensive_british_4stars_2
110	resto_rome_cheap_italian_5stars_2
111	resto_paris_expensive_italian_4stars_2
112	resto_bombay_moderate_french_5stars_1
113	resto_bombay_cheap_indian_3stars_1
114	resto_bombay_expensive_italian_8stars_1
115	awesome
116	resto_paris_expensive_french_4stars_2
117	resto_rome_moderate_spanish_3stars_1
118	resto_bombay_moderate_british_8stars_1
119	resto_bombay_expensive_british_8stars_1
120	resto_paris_cheap_spanish_8stars_1
121	resto_madrid_expensive_spanish_5stars_2
122	in
123	resto_rome_moderate_indian_7stars_2
124	resto_bombay_moderate_british_2stars_1
125	resto_paris_expensive_spanish_5stars_2
